            pdb_name            exp_best             sp_best          sp_default             sp_diff                nres
              132L_A               0.200              -0.558              -0.529               0.029                 124
              13PK_A               0.200              -0.569              -0.542               0.026                 415
              1A26_A              -0.100              -0.493              -0.492               0.001                 351
              1A2T_A               0.600              -0.470              -0.394               0.076                 134
              1A4L_A               0.000              -0.494              -0.494               0.000                 348
              1A65_A               0.100              -0.482              -0.481               0.001                 504
              1A8H_A              -0.100              -0.251              -0.251               0.000                 500
              1A8S_A               0.100              -0.427              -0.421               0.006                 273
              1AF7_A               0.100              -0.611              -0.611               0.000                 274
              1AGM_A               0.400              -0.332              -0.277               0.056                 470
              1AGY_A               0.400              -0.480              -0.455               0.025                 197
              1AH7_A               0.100              -0.449              -0.447               0.002                 245
              1AJ0_A               0.100              -0.485              -0.483               0.002                 282
              1AK0_A               0.000              -0.540              -0.540               0.000                 264
              1AKO_A               0.100              -0.428              -0.428               0.001                 268
              1AMY_A               0.100              -0.423              -0.422               0.001                 403
              1AQ2_A               0.100              -0.585              -0.584               0.000                 534
              1AQL_A               0.100              -0.468              -0.467               0.001                 532
              1AST_A               0.000              -0.524              -0.524               0.000                 200
              1B04_A               0.000              -0.410              -0.410               0.000                 310
              1B2R_A               0.200              -0.447              -0.439               0.008                 295
              1BBS_A               0.000              -0.546              -0.546               0.000                 331
              1BF2_A              -0.100              -0.408              -0.407               0.001                 750
              1BG0_A               0.000              -0.591              -0.591               0.000                 356
              1BH2_A               0.500              -0.569              -0.507               0.062                 315
              1BOL_A               0.000              -0.383              -0.383               0.000                 222
              1BP2_A               0.100              -0.538              -0.538               0.000                 123
              1BQC_A               0.400              -0.546              -0.499               0.046                 302
              1BS0_A               0.000              -0.454              -0.454               0.000                 383
              1BS4_A              -0.100              -0.518              -0.515               0.003                 168
              1BS9_A               0.500              -0.447              -0.401               0.046                 207
              1BT1_A               0.200              -0.458              -0.437               0.021                 336
              1BU7_A              -0.100              -0.291              -0.290               0.001                 455
              1BVV_A              -0.100              -0.348              -0.347               0.001                 185
              1BVZ_A              -0.200              -0.460              -0.445               0.015                 585
              1BWL_A               0.100              -0.455              -0.452               0.003                 399
              1BWZ_A               0.200              -0.574              -0.545               0.029                 274
              1BYA_A               0.000              -0.423              -0.423               0.000                 491
              1BZC_A               0.000              -0.598              -0.598               0.000                 297
              1C82_A               0.100              -0.413              -0.412               0.001                 719
              1CA2_A               0.300              -0.583              -0.547               0.036                 256
              1CB8_A               0.000              -0.500              -0.500               0.000                 674
              1CBX_A               0.000              -0.487              -0.487               0.000                 307
              1CDG_A               1.700              -0.303              -0.248               0.055                 686
              1CEL_A               0.000              -0.510              -0.510               0.000                 433
              1CHD_A              -0.100              -0.392              -0.389               0.004                 198
              1CHK_B               0.200              -0.340              -0.325               0.015                 238
              1CM0_A               1.400              -0.531              -0.303               0.228                 162
              1CNS_A              -0.200              -0.497              -0.488               0.009                 243
              1COY_A               0.100              -0.460              -0.459               0.001                 501
              1CQQ_A               1.300              -0.416              -0.297               0.120                 180
              1CVR_A              -0.100              -0.369              -0.364               0.005                 432
              1CWY_A               0.000              -0.574              -0.574               0.000                 500
              1CZ1_A               0.300              -0.583              -0.562               0.021                 394
              1CZF_A              -0.600              -0.365              -0.341               0.024                 335
              1D1Q_A               0.300              -0.549              -0.530               0.020                 159
              1D4C_A              -0.100              -0.427              -0.416               0.011                 570
              1D6O_A              -0.400              -0.342              -0.296               0.047                 107
              1DDJ_A               0.100              -0.622              -0.619               0.003                 247
              1DGK_N              -0.100              -0.469              -0.457               0.012                 898
              1DGS_A               0.000              -0.383              -0.383               0.000                 581
              1DIN_A               0.200              -0.567              -0.547               0.020                 232
              1DNP_A              -0.100              -0.541              -0.533               0.008                 469
              1DVE_A               0.100              -0.487              -0.484               0.003                 214
              1E0C_A              -0.200              -0.462              -0.457               0.005                 270
              1E1A_A               0.100              -0.330              -0.329               0.001                 312
              1E6E_A               0.000              -0.645              -0.645               0.000                 457
              1EB6_A               0.300              -0.391              -0.372               0.019                 177
              1EH5_A               0.100              -0.548              -0.538               0.010                 279
              1EUG_A               0.100              -0.606              -0.605               0.001                 225
              1EUU_A              10.000              -0.140              -0.061               0.079                 601
              1EX1_A               0.200              -0.439              -0.430               0.009                 602
              1EXN_A              -0.200              -0.319              -0.307               0.012                 267
              1EXP_A               0.000              -0.493              -0.493               0.000                 312
              1EYP_A               0.300              -0.264              -0.246               0.018                 212
              1FF3_A               0.100              -0.466              -0.457               0.009                 210
              1FGH_A               0.100              -0.633              -0.629               0.004                 753
              1FHL_A               0.200              -0.478              -0.463               0.015                 334
              1FOA_A               0.300              -0.589              -0.563               0.026                 342
